NAME,IRIS ID,ACCESSION,SUBPOPULATION,COUNTRY
ARC 14860::IRGC 41793-2,IRIS 313-11273,IRGC 127962,indx,India
AUS PADDY (RED)::IRGC 44978-1,IRIS 313-11348,IRGC 127192,aus,India
BACHHAIKALMA::IRGC 45003-2,IRIS 313-11349,IRGC 127980,ind2,India
BAJAL::IRGC 45024-2,IRIS 313-11350,IRGC 127983,aro,India
BANCHI::IRGC 45055-2,IRIS 313-11351,IRGC 127986,ind2,India
BUCHI::IRGC 45237-2,IRIS 313-11352,IRGC 128004,aro,India
CHILE BORO::IRGC 45297-2,IRIS 313-11353,IRGC 128013,aus,India
CAC 75::IRGC 45352-2,IRIS 313-11354,IRGC 128008,ind2,India
ARC 14901::IRGC 41811-1,IRIS 313-11274,IRGC 127155,aus,India
CN 44-40-7::IRGC 45368-1,IRIS 313-11355,IRGC 127286,indx,India
CR 44-1::IRGC 45397-1,IRIS 313-11356,,aro,India
CR 579-1-3::IRGC 45443-2,IRIS 313-11357,IRGC 128021,ind1B,India
DADKHANI::IRGC 45454-2,IRIS 313-11358,IRGC 128023,ind2,India
DAHARNAGRA::IRGC 45465-2,IRIS 313-11359,IRGC 128024,ind2,India
JALADHI 1::IRGC 45858-2,IRIS 313-11360,IRGC 132342,aro,India
KALIKALMA::IRGC 45996-2,IRIS 313-11361,IRGC 128067,ind2,India
KEYA NUNIA::IRGC 46117-2,IRIS 313-11362,IRGC 128080,aro,India
KHEJURTHUPI::IRGC 46137-2,IRIS 313-11363,IRGC 128089,ind2,India
KHIRPULI::IRGC 46143-1,IRIS 313-11364,IRGC 135761,indx,India
LANJALI::IRGC 46236-2,IRIS 313-11365,IRGC 128095,indx,India
MAKARANDASAIL::IRGC 46289-2,IRIS 313-11367,IRGC 128103,ind2,India
PANIKELASH::IRGC 46500-2,IRIS 313-11368,IRGC 128128,ind2,India
RANACHANDRABHOG::IRGC 46567-2,IRIS 313-11369,IRGC 128146,ind2,India
SACHI::IRGC 46612-2,IRIS 313-11370,IRGC 132368,ind2,India
SATHI::IRGC 46659-1,IRIS 313-11371,IRGC 127788,aus,India
SUFALDHULA::IRGC 46698-2,IRIS 313-11372,IRGC 128173,ind2,India
T 3::IRGC 46760-2,IRIS 313-11373,IRGC 128177,aro,India
W 398::IRGC 46787-1,IRIS 313-11374,IRGC 127889,aus,India
CODE NO 31225::IRGC 46865-2,IRIS 313-11375,IRGC 128018,aro,India
AEB 368 RIP P TYPE ADT::IRGC 49359-2,IRIS 313-11403,IRGC 127923,indx,India
BATCHA BHOG (SCENTED)::IRGC 49440-2,IRIS 313-11407,IRGC 127989,ind2,India
CHITRAKALI::IRGC 49524-2,IRIS 313-11408,IRGC 128016,ind2,India
CUTTACK 29::IRGC 49573-1,IRIS 313-11409,IRGC 127289,ind2,India
KARUNJEERAGA SAMBA::IRGC 49774-1,IRIS 313-11414,IRGC 127495,indx,India
KONAMANI::IRGC 49806-1,IRIS 313-11416,IRGC 127529,ind2,India
LAWANGAI::IRGC 49850-2,IRIS 313-11417,IRGC 132256,admix,India
MATALI::IRGC 49891-2,IRIS 313-11418,IRGC 128106,ind2,India
MUTHA SAMBA::IRGC 49924-2,IRIS 313-11419,,indx,India
PISINI::IRGC 50035-2,IRIS 313-11420,IRGC 128138,ind2,India
TULASIBAS::IRGC 50192-2,IRIS 313-11421,IRGC 128196,ind2,India
